,topicsAll,topic0,topic1,topic2,topic3,topic4,topic5,model0,method0,method1,method2,method3,method4,method5,method6,method7,id,model1,method8,method9,method10,topic6,topic7,model2,model3,method11,method12,method13,method14,method15,method16,method17,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,method18
0,"1. Behavioral neuroscience, Mental Health
2. Cellular neuroscience
3. Clinical neuroscience
4. Cognitive neuroscience
5. Developmental neuroscience
7. Molecular neuroscience
8. Neurophysiology
9. Neuroimmunity","Behavioral neuroscience; Neuroethology, Mental Health","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)","Clinical neuroscience; Neurological disorders (Cannabis, Adolescent exposure, Fear extinction, Neurobiological changes)","Developmental neuroscience; Brain development; Cognitive development (Learning, Learning disabilities, Attention deficit disorder, Attention deficit hyperactivity disorder (ADHD)); Neurogenesis",Molecular neuroscience; Genertics; Metabolism,,In vivo (Animal model; Transgenic); Mouse (mice),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Immunohistochemistry,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Immunofluorescence,Immunofluorescence,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"1. Behavioral neuroscience, Psychology, Sexual health
2. Cellular neuroscience
3. Clinical neuroscience, Sexual health
4. Cognitive neuroscience
5. Developmental neuroscience, Sexual health
6. Aging
7. Molecular neuroscience
8. Neurophysiology, Sexual health
9. Neuroimmunity
10. Nervous System Tumor
11. Treatment
12. Diagnose","Clinical neuroscience; Neurological disorders (Sexual health, Contraceptives)","Developmental neuroscience; Cognitive development (Learning, Learning disabilities)",patient,model,,,None,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"1. Behavioral neuroscience, Genetics, Neurology","Behavioral neuroscience; Neuroethology, Psychology, Mental Health",Molecular neuroscience; Genertics; Proteins,"Clinical neuroscience; Neurological disorders (Aggression, Genetic architecture, Genome-wide association studies (GWAS), Transcriptome analyses, Rodent models, Candidate gene studies, Neuropsychiatric disorders, Heritability, Neurochemical and physiological evidence, Serotoninergic and dopaminergic neurotransmission, Hormonal signaling, Genome-wide association studies (GWAS), Rare human genetic conditions, Gene knockouts (KOs), Synaptic development, Axon guidance, MAPK signaling, Cross-species approach, Integrated approach, Genetic etiology)","Developmental neuroscience; Axon growth; Brain development; Cognitive development (Learning, Learning disabilities, Attention deficit hyperactivity disorder (ADHD)); motor development; steam cells; Neurogenesis",,,In silico (Computational model; Computational neuroscience; Computational neuroscientists; Neuroinformatics; Neuroinformaticians),"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Transcriptome analysis of rodent models, Genome-wide association studies (GWAS), Ingenuity pathway analysis",Gene Edition,"Gene expression; Transcriptomics, Microarrays",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Transcriptome analysis of rodent models, Genome-wide association studies (GWAS), Ingenuity pathway analysis","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Transcriptome analysis of rodent models, Genome-wide association studies (GWAS), Ingenuity pathway analysis","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Transcriptome analysis of rodent models, Genome-wide association studies (GWAS), Ingenuity pathway analysis","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Transcriptome analysis of rodent models, Genome-wide association studies (GWAS), Ingenuity pathway analysis",161, In vitro (Culture),,,,,,"In vivo (Animal model; Transgenic); Mouse (mice), Rat, Drosophila","In humans; Human, Rodent",,,,,,,,,,,,,,,,,,,,,
0,"Cognitive neuroscience, Behavioral neuroscience","Cognitive neuroscience; Memory, Cognition",,,,,,In humans; Human,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Optogenetics,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Behavioral tests (behavioral analysis; cognitive tests),,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)","Clinical neuroscience; Brain stimulation; Neural prosthetics (Neuroprosthetics); Neurological disorders (Blood-brain barrier, Drug delivery)",Molecular neuroscience; Proteins; Genertics,,,, In vitro (Culture),Cell culture,Molecular biology (PCR), Bioinformatics,Immunohistochemistry,In situ hybridization,,,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Aging, Molecular neuroscience",model,"Behavioral neuroscience; Neuroethology, Mental Health","Neuroimmunity (Inflammation (Encephalitis), Neuroinflammation)",,,,In vivo (Animal model; Transgenic); C57BL/6 mice,Behavioral tests (behavioral analysis; cognitive tests),Stereotactics,Molecular biology (PCR),Immunohistochemistry, Bioinformatics,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"1. Behavioral neuroscience, Mental Health
2. Clinical neuroscience
3. Molecular neuroscience
4. Neurophysiology
5. Developmental neuroscience","Clinical neuroscience; Neurological disorders (Psychological wellbeing, Stress, Pregnancy-specific stress, Postpartum depression, Hair Cortisol Concentrations, Resilience)","Developmental neuroscience; Cognitive development (Learning, Learning disabilities)",,,,,None,Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Hair Cortisol Concentrations (HCC),,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Environmental, Neurology",air pollution,Developmental neuroscience; Cognitive development (Attention deficit hyperactivity disorder (ADHD)); Brain development,,,,,None,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Clinical neuroscience","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)","Clinical neuroscience; Neurological disorders (Rett syndrome, NMDAR, GluN2B, synaptic development, synaptic plasticity, neurodevelopmental disorder, NDD, GRIN2B mutation, D-serine dietary supplement)",Molecular neuroscience; Genertics; Proteins,"Treatment (Therapy) (Neurosurgery, Pharmacology)",,, In vitro (Culture),"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); In silico studies, Biochemical studies, Cellular studies, Electrophysiological studies",Cell culture,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Immunofluorescence,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,188,In silico (Computational model; Computational neuroscience; Computational neuroscientists; Neuroinformatics; Neuroinformaticians),Behavioral tests (behavioral analysis; cognitive tests),,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Developmental neuroscience, Molecular neuroscience","Cellular neuroscience; Glia, Neurons",Developmental neuroscience; Cognitive development (Down syndrome); Brain development,Molecular neuroscience; Genertics; Proteins,,,,In vivo (Animal model; Transgenic); Mouse (mice),Immunohistochemistry,Molecular biology (PCR),Behavioral tests (behavioral analysis; cognitive tests),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Molecular biology (PCR),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Psychology, Social neuroscience",model,model,model,model,model,,In humans; Human,Behavioral tests (behavioral analysis; cognitive tests),,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience, Neuroimmunity","Cellular neuroscience; Glia, Neurons","Clinical neuroscience; Neurological disorders (Glioblastoma, Microglia, Macrophages, Tumor invasion, Hypoxia)",Molecular neuroscience; Autopahgy; Proteins,Neuroimmunity (Neuroinflammation),"Nervous System Tumour (Tumor; cancer) (Glioblastoma, Microglia, Macrophages, Tumour development, Hypoxia, Necrotic areas, Inflammatory response, Neuroinflammatory compound, GAMMs, Cell invasion)",, In vitro (Culture),Histology,Immunohistochemistry,Immunofluorescence,Cell culture,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Molecular neuroscience, Clinical neuroscience",Molecular neuroscience; Genertics; Metabolism,"Nervous System Tumour (Tumor; cancer) (Glioblastoma, Lung cancer, Alzheimer's Disease)",model,,,,In silico (Computational model; Computational neuroscience; Computational neuroscientists; Neuroinformatics; Neuroinformaticians),Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Transcriptomic meta-analyses,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Gene expression; Transcriptomics, Microarrays",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)",Molecular neuroscience; Proteins; Genertics,,,,, In vitro (Culture),Cell culture,Molecular biology (PCR),Immunohistochemistry, Bioinformatics,Molecular biology (Western Blott),Immunofluorescence,,,77,In vivo (Animal model; Transgenic); Mouse (mice),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience","Cellular neuroscience; Neurons, Glia","Developmental neuroscience; Axon growth; Brain development; Cognitive development (Learning, Learning disabilities)",,,,, In vitro (Culture),Immunofluorescence,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"1. Behavioral neuroscience, Neuroethology, Psychology, Physiological psychology, Psycholinguistics, Psychophysics, Psychophysiology, Emotional Psychology
2. Cellular neuroscience, Glia, Astrocytes, Microglia, Oligodendrocytes, Radial glial cells, Schwann cells, Neurons, Cortical neurons, Dopaminergic neurons, GABAergic neurons, Glutamatergic neurons, Granule cells, Hippocampal neurons, Interneurons, Mirror neurons, Motor neurons, Neuronal synapses, Purkinje cells, Pyramidal neurons, Sensory neurons, Serotonergic neurons, Neurovascular
3. Clinical neuroscience, Neurology, Brain stimulation, Neural prosthetics, Neurological disorders, Rare disease, Amnesia, Amyotrophic lateral sclerosis, Aneurysms, Basal ganglia disease, Brain ischemia, Cerebral palsy, Coma, Demyelinating diseases, Dopamine deficiency, Epilepsy, Hydrocephalus, Neurodegenerative diseases, Dementia, Mild Cognitive Impairment, Alzheimer disease, Amyloid, Tau, Ataxia, Huntington's disease, Leukodystrophy, Adrenoleukodystrophy, Metachromatic leukodystrophy, Parkinson's disease, Transmissible spongiform encephalopathy, Creutzfeldt Jakob disease, Neuromuscular diseases, Multiple sclerosis, Muscular dystrophy, Paralysis, Polio, Rett syndrome, Tics, Tourette syndrome, Vegetative states, Wallerian degeneration
4. Cognitive neuroscience, Cognition, Consciousness, Neuroeconomics, Reaction time, Memory, Cognitive reserve
5. Developmental neuroscience, Axon growth, Brain development, Cognitive development, Autism, Intellectual disability, Learning, Learning disabilities, Motor development, Stem cells, Neurogenesis
7. Molecular neuroscience, Metabolism, Proteins, Receptor, Enzyme, Antibody, Antigen, Genetics, DNA, RNA, Epigenetics, Autophagy, Apoptosis
8. Neurophysiology, Brain, Cortex, Hippocampus, Hypothalamus, Accumbens, Amygdala, Striatum, Basal Ganglia, Connectivity, Cerebellum, Spinal chord, Peripheral nervous system, Injury, Motor control, Myelination, Neural mechanisms, Neural pathways, Neuromuscular junctions, Neuroplasticity, Hormone, Neurotransmission, Sensory systems, Sleep
9. Neuroimmunity, Autoimmunity, Inflammation, Neuroinflammation
10. Nervous System Tumour, Glioblastoma, Glioma, Neuroblastoma, Ependimoma, Adenoma, Prolactinoma, Chemotherapy, Radiotherapy, Pediatric cancer, Metastasis
11. Treatment, Stem cells, Rehabilitation, Anaesthesia, Pharmacology, Transplantation, Neurosurgery
12. Diagnose, Marker, Symptom
13. Other Topics","Behavioral neuroscience; Neuroethology, None","Cellular neuroscience; Glia, Neurons","Clinical neuroscience; Neurological disorders (Neuropathic pain, Peripheral nervous system, Central nervous system, Gene expression, Sensory modality, Tactile allodynia, Cold allodynia, Pain hypersensitivity, Immune cells, Neurons)",Molecular neuroscience; Genertics; Autopahgy,Neuroimmunity (Neuroinflammation),,In vivo (Animal model; Transgenic); Mouse (mice),Molecular biology (PCR), Bioinformatics,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); RNA-seq, Weighted gene co-expression network analysis (WGCNA), Transcription factor binding site (TFBS) enrichment analysis, Protein-protein interaction (PPI) network analysis, Gene Ontology (GO) analysis",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Gene expression; Transcriptomics, Microarrays",,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience, Neurophysiology","Cellular neuroscience; Neurons, Glia",Molecular neuroscience; Genertics; Genertics,Neurophysiology; Neural mechanisms; Peripehral nervous system; Neural mechanisms; Brain; Neural mechanisms; Injury; Peripehral nervous system; Neural mechanisms; Neural mechanisms; Motor control; Neural mechanisms; Neural mechanisms; Neuroplasticity; Neural mechanisms,,,,In vivo (Animal model; Transgenic); Mouse (mice),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Gene Edition,Gene Edition,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); FANS, nuRNA-seq, riboRNA-seq, ATAC-seq, ChIP-seq","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); FANS, nuRNA-seq, riboRNA-seq, ATAC-seq, ChIP-seq",,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Mental Health","Clinical neuroscience; Neurological disorders (Alcohol consumption, Psychopathological symptoms)","Developmental neuroscience; Cognitive development (Fetal alcohol syndrome, Alcohol consumption, Psychopathological disorders)",,,,,None,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Clinical neuroscience, Cognitive neuroscience","Clinical neuroscience; Neurological disorders (Down's syndrome, Cognitive training, Epigallocatechin-3-gallate (EGCG), Clinical trial)","Cognitive neuroscience; Cognition, Memory",Developmental neuroscience; Cognitive development (Down syndrome),Molecular neuroscience; Genertics,,,In humans; Adult,Cell culture,Molecular biology (PCR),Behavioral tests (behavioral analysis; cognitive tests),,,,,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"1. Behavioral neuroscience, Mental Health
2. Cellular neuroscience
3. Clinical neuroscience
4. Cognitive neuroscience
5. Developmental neuroscience
6. Aging
7. Molecular neuroscience
8. Neurophysiology
9. Neuroimmunity
10. Nervous System Tumor
11. Treatment
12. Diagnose",patient,patient,"Clinical neuroscience; Neurological disorders (Alzheimer disease (Alzheimer's disease; Alzheimers disease), Cardiovascular disease, Aging)",Molecular neuroscience; Genertics,,,In vivo (Animal model; Transgenic); Mouse (mice),Histology,Cell culture,Stereotactics,Molecular biology (Western Blott),Molecular biology (PCR), Bioinformatics,Immunohistochemistry,Immunofluorescence,172,,In situ hybridization,Behavioral tests (behavioral analysis; cognitive tests),,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Clinical neuroscience","Cellular neuroscience; Glia, Neurons","Clinical neuroscience; Brain stimulation; Neural prosthetics (Neuroprosthetics); Neurological disorders (Reactive astrocytes, Brain metastasis, STAT3 activation)",Molecular neuroscience; Proteins; Genertics,"Neuroimmunity (Inflammation (Enchephalitis), Neuroinflammation)","Nervous System Tumour (Tumor; cancer) (Brain Metastasis, STAT3, Reactive Astrocytes, Microenvironment)","Treatment (Therapy) (Neurosurgery, Pharmacology)", In vitro (Culture),Immunohistochemistry,Molecular biology (PCR),Cell culture,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Psycholinguistics, Cognitive neuroscience","Cognitive neuroscience; Cognition, Memory","Developmental neuroscience; Cognitive development (Learning, Learning disabilities)",,,,,In vivo (Animal model; Transgenic); Human participants,Behavioral tests (behavioral analysis; cognitive tests),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,98,"In humans; Adult, Elder (Geriatry, Geriatric)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience","Cellular neuroscience; Neurons, Glia",Molecular neuroscience; Proteins; Genertics,,,,,"In vivo (Animal model; Transgenic); Mouse (mice), Human brain tissue",Immunohistochemistry,Molecular biology (Western Blott),Gene Edition,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Immunofluorescence,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,73,"In humans; Mouse (R6/1 and R6/2 heterozygous transgenic mice, wild-type Hdh Q7/Q7 knock-in mice)",Behavioral tests (behavioral analysis; cognitive tests),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Histology,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Immunofluorescence, Western blot analyses, eIF4G immunoprecipitation assay, SUnSET method in brain slices, Immunohistochemistry, PUNCH-P, Acute intracerebroventricular puromycin infusion, Surgery for 4EGI-1 treatment, Behavioural assessment (Open field, Accelerating rotarod, Balance beam, Vertical pole), Electrophysiology Surgery, Input/output curves, paired pulse facilitation and long-term depression in behaving mice, Histology, Electrophysiological data collection and analysis, Ribosome visualization",,,,,,,,,,,,,,
